"NOIND","PERIODE","SISA_CUTI"
"0000143","2016","3"
"0000144","2016","0"
"0000145","2016","6"
"0000146","2016","2"
"0000147","2016","1"
"0000148","2016","5"
"0000149","2016","0"
"0000150","2016","0"
"0000151","2016","2"
"0000152","2016","0"
"0000153","2016","0"
"0000154","2016","8"
"0000155","2016","3"
"0000156","2016","5"
"0000157","2016","0"
"0000158","2016","9"
"0000159","2016","8"
"0000160","2016","8"
"0000161","2016","5"
"0000162","2016","5"
"0000163","2016","0"
"0000164","2016","0"
"0000165","2016","7"
"0000166","2016","2"
"0000167","2016","2"
"0000168","2016","0"
"0000169","2016","0"
"0000170","2016","2"
"0000171","2016","4"
"0000172","2016","5"
"0000173","2016","1"
"0000175","2016","1"
"0000177","2016","2"
"0000178","2016","0"
"0000179","2016","0"
"0000181","2016","1"
"0000182","2016","-1"
"0000183","2016","0"
"0000184","2016","4"
"0000185","2016","0"
"0000186","2016","0"
"0000187","2016","2"
"0000188","2016","4"
"0000189","2016","2"
"0000190","2016","9"
"0000191","2016","2"
"0000192","2016","2"
"0000194","2016","0"
"0000195","2016","0"
"0000197","2016","5"
"0000198","2016","5"
"0000199","2016","1"
"0000200","2016","5"
"0000201","2016","0"
"0000202","2016","3"
"0000203","2016","0"
"0000204","2016","2"
"0000206","2016","5"
"0000207","2016","6"
"0000209","2016","0"
"0000210","2016","0"
"0000211","2016","8"
"0000212","2016","0"
"0000213","2016","0"
"0000214","2016","7"
"0000215","2016","0"
"0000216","2016","5"
"0000217","2016","6"
"0000218","2016","0"
"0000219","2016","1"
"0000220","2016","7"
"0000221","2016","2"
"0000222","2016","2"
"0000223","2016","5"
"0000224","2016","2"
"0000225","2016","1"
"0000226","2016","0"
"0000227","2016","2"
"0000228","2016","5"
"0000230","2016","8"
"0000231","2016","2"
"0000232","2016","3"
"0000233","2016","0"
"0000234","2016","4"
"0000235","2016","0"
"0000236","2016","3"
"0000237","2016","1"
"0000239","2016","0"
"0000240","2016","0"
"0000241","2016","6"
"0000242","2016","1"
"0000244","2016","0"
"0000245","2016","1"
"0000246","2016","5"
"0000247","2016","7"
"0000248","2016","3"
"0000249","2016","1"
"0000250","2016","4"
"0000251","2016","9"
"0000252","2016","0"
"0000253","2016","0"
"0000254","2016","4"
"0000255","2016","3"
"0000256","2016","1"
"0000257","2016","6"
"0000258","2016","0"
"0000259","2016","3"
"0000260","2016","1"
"0000261","2016","1"
"0000262","2016","4"
"0000263","2016","0"
"0000264","2016","0"
"0000265","2016","1"
"0000266","2016","1"
"0000267","2016","3"
"0000268","2016","0"
"0000269","2016","4"
"0000270","2016","0"
"0000271","2016","5"
"0000272","2016","8"
"0000274","2016","0"
"0000275","2016","8"
"0000276","2016","0"
"0000277","2016","1"
"0000278","2016","6"
"0000279","2016","1"
"0000280","2016","2"
"0000281","2016","4"
"0000283","2016","1"
"0000284","2016","4"
"0000285","2016","3"
"0000286","2016","4"
"0000287","2016","0"
"0000288","2016","0"
"0000289","2016","0"
"0000290","2016","0"
"0000291","2016","6"
"0000293","2016","2"
"0000294","2016","5"
"0000295","2016","0"
"0000296","2016","3"
"0000297","2016","0"
"0000298","2016","1"
"0000299","2016","0"
"0000300","2016","3"
"0000301","2016","2"
"0000302","2016","0"
"0000303","2016","2"
"0000304","2016","2"
"0000305","2016","5"
"0000306","2016","1"
"0000308","2016","1"
"0000309","2016","4"
"0000310","2016","0"
"0000311","2016","3"
"0000312","2016","2"
"0000313","2016","1"
"0000314","2016","1"
"0000315","2016","0"
"0000316","2016","1"
"0000317","2016","4"
"0000318","2016","5"
"0000319","2016","2"
"0000321","2016","1"
"0000322","2016","4"
"0000323","2016","0"
"0000324","2016","7"
"0000325","2016","3"
"0000326","2016","4"
"0000327","2016","0"
"0000328","2016","0"
